Kuwait,KWT,2017,97.99998933
Luxembourg,LUX,2017,97.82762613
Denmark,DNK,2017,97.09936216
Norway,NOR,2017,96.50851854
Sweden,SWE,2017,96.40964528
Bahrain,BHR,2017,95.87813575
South Korea,KOR,2017,95.09714917
United Arab Emirates,ARE,2017,94.81992254
Switzerland,CHE,2017,93.71386591
Netherlands,NLD,2017,93.19727891
Japan,JPN,2017,90.87304215
Hong Kong,HKG,2017,89.41594465
Estonia,EST,2017,88.10245687
Austria,AUT,2017,87.93558659
Belgium,BEL,2017,87.67968082
Finland,FIN,2017,87.46892907
Australia,AUS,2017,86.54472054
Spain,ESP,2017,84.6022457
Ireland,IRL,2017,84.51538863
Singapore,SGP,2017,84.44953878
